Property_Title,Address,Market,Flood,Street_Address,City,State,Zip,Property_Type,Highway,Train,Tax_Rate,SQFT_Basement,HTW,Pool,Commercial,Water,Sewage,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,BasementYesNo,Layout,Rent_Restricted,Neighborhood_Rating,Latitude,Longitude,Subdivision,School_Average
"02268 Heather Springs Suite 775 New Mark, NC 14429","02268 Heather Springs Suite 775 New Mark, NC 14429",Dalas,0,02268 Heather Springs Suite 775,New Mark,NC,14429,SFR,1,,1.58,1319,,,1,,1,2003,2844,2235,,1,2,1,Split,0,5,39.09016,-110.606714,Forest,9.98
"7526 Jennifer Ville Port Veronicaborough, ND 88845","7526 Jennifer Ville Port Veronicaborough, ND 88845",Chicago,0,7526 Jennifer Ville,Port Veronicaborough,ND,88845,Duplex,,,2.19,888,,,,1,0,1973,1104,6172,,4,1,1,Colonial,1,3,37.083958,-107.18643,Plaza,9.25
"19856 Justin Mission Suite 686 New Richardshire, VI 06073","19856 Justin Mission Suite 686 New Richardshire, VI 06073",Chicago,1,19856 Justin Mission Suite 686,New Richardshire,VI,6073,Single Family Home,1,1,2.54,1819,1,,0,1,0,1971,2145,6723,Street,5,2,,,0,1,35.331506,-89.275635,Mountain,5.91
"910 Amanda Terrace South Dorothy, NM 63258","910 Amanda Terrace South Dorothy, NM 63258",Dallas,0,910 Amanda Terrace,South Dorothy,NM,63258,Single Family Home,1,0,2.01,1123,,0,,,0,2001,1520,4083,Driveway,2,2,,Colonial,1,5,41.046489,-94.342428,Spring,3.76
"603 Jessica Flats Suite 370 Spencerhaven, KS 50800","603 Jessica Flats Suite 370 Spencerhaven, KS 50800",Atlanta,,603 Jessica Flats Suite 370,Spencerhaven,KS,50800,Duplex,,0,2.25,1747,0,,0,,,1998,2666,4841,Garage,6,3,,Colonial,,5,40.008903,-87.619812,Ranch,6.48
"78737 Michelle Field Christophertown, DC 11755","78737 Michelle Field Christophertown, DC 11755",Dallas,,78737 Michelle Field,Christophertown,DC,11755,Condo,0,,1.9,1740,0,0,0,0,1,1964,647,6044,,4,3,0,Split,1,1,33.711832,-74.069932,Station,4.62
"710 Bruce Valley Port Laura, ID 34694","710 Bruce Valley Port Laura, ID 34694",Dalas,1,710 Bruce Valley,Port Laura,ID,34694,Townhouse,,0,2.77,436,,,,0,0,2002,2327,5237,Driveway,1,4,,Ranch,0,3,34.772917,-99.729645,Parks,5.99
"6338 Virginia Centers South Tristan, NJ 07686","6338 Virginia Centers South Tristan, NJ 07686",Florida,0,6338 Virginia Centers,South Tristan,NJ,7686,Duplex,1,1,3.38,991,0,,1,,1,1954,857,5986,Street,2,4,0,Colonial,,3,40.458426,-77.801389,Well,8.63
"857 Darlene Lodge East Don, KS 61237","857 Darlene Lodge East Don, KS 61237",Dalas,0,857 Darlene Lodge,East Don,KS,61237,Townhouse,1,,3.43,1197,1,1,,1,,1965,1796,3657,,2,1,1,,,2,33.106904,-111.548521,Station,6.89
"28379 Kimberly Neck Phillipfort, VI 86410","28379 Kimberly Neck Phillipfort, VI 86410",Dalas,0,28379 Kimberly Neck,Phillipfort,VI,86410,Duplex,0,,1.52,1988,1,1,1,1,0,1967,1842,7017,,2,4,0,Colonial,,2,36.592615,-77.26286,Springs,5.8
"26991 Rice Fork Suite 984 North Colleenstad, MS 49030","26991 Rice Fork Suite 984 North Colleenstad, MS 49030",Dalas,0,26991 Rice Fork Suite 984,North Colleenstad,MS,49030,Condo,1,,2.9,64,0,1,1,1,,1952,1225,5258,Garage,4,3,1,Colonial,0,5,38.751678,-112.625594,Drive,5.84
"66936 Dunlap Fords Suite 643 Lake Michaelbury, OK 38288","66936 Dunlap Fords Suite 643 Lake Michaelbury, OK 38288",Dalas,1,66936 Dunlap Fords Suite 643,Lake Michaelbury,OK,38288,SFR,,0,3.49,281,0,0,,0,,2001,3106,6530,Street,2,1,,Ranch,0,3,34.16212,-100.369445,Forges,3.45
"77409 Olsen Well Apt. 628 West Tyler, LA 52200","77409 Olsen Well Apt. 628 West Tyler, LA 52200",Chicago,1,77409 Olsen Well Apt. 628,West Tyler,LA,52200,Single Family Home,0,,2.72,295,1,,,0,1,2017,1441,4067,Street,2,4,,Colonial,1,2,37.74927,-100.541502,Curve,9.25
"520 Brooks Unions Samanthaland, GA 68094","520 Brooks Unions Samanthaland, GA 68094", ,0,520 Brooks Unions,Samanthaland,GA,68094,Single Family Home,0,,3.47,1948,1,0,1,1,1,2000,1946,8351,Driveway,5,3,0,,,2,34.730158,-83.489751,Mill,5.3
"6449 Patricia Valleys East Kevinville, WI 84488","6449 Patricia Valleys East Kevinville, WI 84488",Atlanta,1,6449 Patricia Valleys,East Kevinville,WI,84488,SFR,1,1,1.37,1908,1,1,0,0,1,1990,2413,3821,Garage,6,4,1,Colonial,,2,41.85917,-109.99502,Parkway,9.17
"337 Tracy Meadow Apt. 354 Thomaston, GU 80079","337 Tracy Meadow Apt. 354 Thomaston, GU 80079", ,1,337 Tracy Meadow Apt. 354,Thomaston,GU,80079,Duplex,,0,1.59,1697,,0,0,1,,2021,2765,7852,Driveway,2,1,,Ranch,,4,39.587048,-105.579308,Street,6.78
"422 Hernandez Hollow Suite 822 Lake Jamesberg, WI 95202","422 Hernandez Hollow Suite 822 Lake Jamesberg, WI 95202", ,0,422 Hernandez Hollow Suite 822,Lake Jamesberg,WI,95202,Condo,1,1,2.47,1031,0,0,1,,0,2008,1112,6782,Driveway,3,4,1,Colonial,,4,35.295047,-98.649843,Village,8.26
"95419 Hamilton Pike Suite 847 North Kellymouth, MP 87473","95419 Hamilton Pike Suite 847 North Kellymouth, MP 87473",Atlanta,1,95419 Hamilton Pike Suite 847,North Kellymouth,MP,87473,SFR,0,0,2.46,1505,,1,0,0,1,2019,762,8170,Driveway,6,2,,Colonial,,4,33.763441,-77.015908,Overpass,3.99
"33610 Alvarez Inlet Apt. 326 Franklinburgh, VI 71349","33610 Alvarez Inlet Apt. 326 Franklinburgh, VI 71349",Atlanta,,33610 Alvarez Inlet Apt. 326,Franklinburgh,VI,71349,Townhouse,1,1,3.3,427,,0,,1,,1974,1134,2441,Garage,6,2,0,Split,1,4,38.34362,-84.546792,Drive,6.22
"7536 Amy Spring Suite 754 Levyshire, CT 13171","7536 Amy Spring Suite 754 Levyshire, CT 13171",Atlanta,1,7536 Amy Spring Suite 754,Levyshire,CT,13171,Single Family Home,0,0,1.11,466,0,1,0,,1,1962,3470,7859,,3,4,1,Colonial,,5,33.627468,-92.88317,Cove,9.34
"87098 Smith Avenue Apt. 244 Francisside, MH 28383","87098 Smith Avenue Apt. 244 Francisside, MH 28383",Chicago,1,87098 Smith Avenue Apt. 244,Francisside,MH,28383,Single Family Home,,1,1.81,1348,1,0,,,,1952,586,5478,,1,4,0,Ranch,1,1,33.198713,-79.119038,Islands,3.75
"12591 Clements Inlet East Jimmyfurt, IN 99190","12591 Clements Inlet East Jimmyfurt, IN 99190",Tampa,0,12591 Clements Inlet,East Jimmyfurt,IN,99190,Townhouse,1,1,1.25,1495,0,,0,0,,2014,908,8110,Street,2,4,1,Split,,2,35.303149,-113.758888,Rue,9.27
"35364 Benjamin Trafficway Apt. 834 Colinchester, HI 49645","35364 Benjamin Trafficway Apt. 834 Colinchester, HI 49645",Atlanta,,35364 Benjamin Trafficway Apt. 834,Colinchester,HI,49645,Condo,,,2.56,1481,,1,1,0,,2021,1532,6671,,6,1,,,0,3,39.310951,-94.888303,Village,5.8
"65650 Olson Road West Jackmouth, PW 40962","65650 Olson Road West Jackmouth, PW 40962",Chicgo,1,65650 Olson Road,West Jackmouth,PW,40962,SFR,0,,3.46,1628,,1,,1,0,2010,2363,5302,,6,2,,,,4,34.1925,-91.133447,Hills,5.45
"52911 Samuel Place West Jeffreyburgh, FM 80091","52911 Samuel Place West Jeffreyburgh, FM 80091",Dallas,1,52911 Samuel Place,West Jeffreyburgh,FM,80091,Duplex,0,1,2.8,1250,1,1,0,,1,2000,2747,2812,Garage,2,2,1,Split,1,1,38.789613,-73.575872,Inlet,4.96
"5482 Kimberly Alley Suite 440 Hessmouth, IN 56867","5482 Kimberly Alley Suite 440 Hessmouth, IN 56867",Chicago,,5482 Kimberly Alley Suite 440,Hessmouth,IN,56867,Single Family Home,0,0,1.35,246,,1,1,1,0,2019,1439,9628,Driveway,2,4,1,Ranch,,4,36.509087,-76.947461,Summit,8.17
"85816 John Island West Gregory, DE 15341","85816 John Island West Gregory, DE 15341",Florida,1,85816 John Island,West Gregory,DE,15341,Single Family Home,0,1,2.48,823,0,,0,,,2017,1408,3569,,4,3,,,,1,37.4501,-108.220416,Views,9.47
"914 Kathleen Streets Hollandberg, VA 71731","914 Kathleen Streets Hollandberg, VA 71731",Tampa,0,914 Kathleen Streets,Hollandberg,VA,71731,Duplex,0,1,1.76,530,1,1,1,1,1,1998,2596,5827,Garage,5,3,,Colonial,0,5,38.667172,-94.03514,Mall,5.43
"7992 Banks Mountain South Alexander, SC 68735","7992 Banks Mountain South Alexander, SC 68735",Chicgo,0,7992 Banks Mountain,South Alexander,SC,68735,Duplex,,0,1.64,558,1,1,1,1,1,1993,1919,5240,,2,1,,Colonial,1,5,38.115497,-109.47603,Ports,4.19
"91507 Drake Shoal Suite 539 Christopherview, AL 87423","91507 Drake Shoal Suite 539 Christopherview, AL 87423",Dallas,,91507 Drake Shoal Suite 539,Christopherview,AL,87423,Condo,1,1,2.23,470,,0,0,1,1,2007,2772,3639,Garage,1,1,,,,5,36.360696,-110.411628,Forks,4.59
"15244 Young Shoal Port Randymouth, FM 04179","15244 Young Shoal Port Randymouth, FM 04179",Tampa,,15244 Young Shoal,Port Randymouth,FM,4179,Townhouse,1,0,1.27,1110,0,0,1,,1,1992,1076,2931,Driveway,1,3,0,Colonial,,3,38.708672,-96.553786,Parks,7.23
"038 Wright Spur West Rebecca, TN 77700","038 Wright Spur West Rebecca, TN 77700",Florida,1,038 Wright Spur,West Rebecca,TN,77700,Condo,,1,1.49,1167,0,0,0,,0,2008,521,7949,Street,1,2,,,0,3,37.4397,-104.2931,Ways,4.07
"23573 Andrew Throughway Lewisland, GA 83649","23573 Andrew Throughway Lewisland, GA 83649",Atlanta,1,23573 Andrew Throughway,Lewisland,GA,83649,SFR,,1,2.45,516,1,1,,1,,1950,1018,3464,,4,3,,,1,1,40.648198,-88.115911,Ferry,4.9
"6609 James Circles Suite 879 South Ashley, HI 34099","6609 James Circles Suite 879 South Ashley, HI 34099",Chicago,0,6609 James Circles Suite 879,South Ashley,HI,34099,Duplex,1,0,2.54,1680,0,0,0,0,,1983,2896,5484,Street,3,3,0,Colonial,,3,36.702334,-95.717398,Loop,3.21
"10785 Payne Mews Apt. 982 Angelaview, WV 99017","10785 Payne Mews Apt. 982 Angelaview, WV 99017",Florida,,10785 Payne Mews Apt. 982,Angelaview,WV,99017,Single Family Home,1,,2.69,1541,1,1,1,,1,1997,3161,8465,Garage,1,2,0,Colonial,,1,34.73701,-114.501005,Village,4.67
"7919 Gonzalez Ridges Harrisonborough, AZ 26616","7919 Gonzalez Ridges Harrisonborough, AZ 26616",Tampa,,7919 Gonzalez Ridges,Harrisonborough,AZ,26616,SFR,1,,2.53,1980,0,1,,0,1,1961,1547,2543,Garage,1,1,1,Ranch,,3,36.916467,-102.262696,Brooks,5.1
"546 Moore Burgs Port Patricia, VA 16860","546 Moore Burgs Port Patricia, VA 16860",Dallas,,546 Moore Burgs,Port Patricia,VA,16860,SFR,0,0,2.42,143,0,,1,0,,1959,1574,1002,Street,6,3,1,Split,0,2,39.213634,-92.49552,Groves,4.16
"38361 Tommy Road Josephborough, KS 82566","38361 Tommy Road Josephborough, KS 82566",Chicgo,1,38361 Tommy Road,Josephborough,KS,82566,Townhouse,0,0,1.58,564,,1,0,0,1,1957,1669,6888,Street,5,1,1,,1,5,36.554047,-102.020802,Inlet,4.38
"869 Holmes Cove South Jacquelinehaven, IL 79350","869 Holmes Cove South Jacquelinehaven, IL 79350",Atlanta,,869 Holmes Cove,South Jacquelinehaven,IL,79350,SFR,0,1,1.52,162,,0,0,,,1964,1633,9067,Garage,5,1,1,Colonial,0,1,33.31686,-111.507975,View,4.36
"36398 Amy Fall Avilamouth, TN 07696","36398 Amy Fall Avilamouth, TN 07696",Dalas,1,36398 Amy Fall,Avilamouth,TN,7696,Townhouse,,,3.05,169,0,1,,0,1,2014,3078,8134,Street,6,4,1,Colonial,1,3,39.605347,-117.735935,Hills,7.03
"8280 William Avenue Apt. 613 East Kimberlyshire, NJ 36951","8280 William Avenue Apt. 613 East Kimberlyshire, NJ 36951",Chicago,1,8280 William Avenue Apt. 613,East Kimberlyshire,NJ,36951,Duplex,,,2.48,1168,,,0,0,,1965,2609,9885,,1,4,0,,0,5,39.881754,-111.906117,Gateway,3.26
"82777 Christopher Plains Jacobsontown, AS 12222","82777 Christopher Plains Jacobsontown, AS 12222",Tampa,1,82777 Christopher Plains,Jacobsontown,AS,12222,Condo,0,1,2.82,407,0,0,0,,,1973,1788,3102,Street,4,3,1,Split,1,1,36.477028,-74.124211,Glens,3.86
"26277 Diane Circles Morrowburgh, RI 09162","26277 Diane Circles Morrowburgh, RI 09162", ,0,26277 Diane Circles,Morrowburgh,RI,9162,SFR,1,1,1.17,183,,0,0,0,,2003,2724,4585,,1,2,0,Colonial,1,1,33.080331,-74.436327,Motorway,6.63
"171 Williams Mews East Karenshire, GU 46131","171 Williams Mews East Karenshire, GU 46131",Dalas,1,171 Williams Mews,East Karenshire,GU,46131,Duplex,1,,1.04,1754,1,0,1,0,0,2019,1721,9224,Street,4,1,,Ranch,,3,37.286753,-82.059763,Cliff,3.57
"56559 Edwards Highway East Lindastad, CT 16383","56559 Edwards Highway East Lindastad, CT 16383",Chicgo,1,56559 Edwards Highway,East Lindastad,CT,16383,Duplex,,,3.19,1660,,,1,0,0,1982,892,7117,Driveway,6,1,0,,,2,38.290169,-86.687592,Divide,4.77
"713 Martin Cliffs Suite 026 Laurenport, AZ 60526","713 Martin Cliffs Suite 026 Laurenport, AZ 60526",Dallas,0,713 Martin Cliffs Suite 026,Laurenport,AZ,60526,SFR,1,1,1.76,1100,,1,,1,,2011,2912,1957,Driveway,2,3,1,,0,1,40.017296,-109.223325,Lodge,8.71
"037 Miller Manor Port Beth, VI 71378","037 Miller Manor Port Beth, VI 71378",Florida,1,037 Miller Manor,Port Beth,VI,71378,SFR,0,0,2.35,720,,,1,0,0,1970,2818,9279,Driveway,3,2,0,Ranch,0,1,39.512304,-87.476135,Knoll,9.06
"728 Justin Squares Suite 378 Sullivanview, VA 98484","728 Justin Squares Suite 378 Sullivanview, VA 98484",Florida,0,728 Justin Squares Suite 378,Sullivanview,VA,98484,SFR,1,1,2.2,1142,,1,,1,,1977,771,3473,Driveway,2,4,,Split,1,5,38.527752,-96.56189,Shoal,3.84
"3575 Brown Hollow North Yvonneberg, WV 62427","3575 Brown Hollow North Yvonneberg, WV 62427",Florida,0,3575 Brown Hollow,North Yvonneberg,WV,62427,Duplex,0,,1.83,1095,0,0,0,1,0,2008,877,5276,Garage,6,4,0,Colonial,0,4,40.904387,-84.490486,Extensions,4.63
"87478 Eric Squares Port Victorstad, VT 71644","87478 Eric Squares Port Victorstad, VT 71644",Atlanta,,87478 Eric Squares,Port Victorstad,VT,71644,Single Family Home,0,1,1.87,1133,0,,,0,,1988,2514,8193,,2,1,,Split,1,3,40.402174,-99.825605,Rapids,8.02
"487 Lopez Groves Suite 922 West Jonathan, MO 15135","487 Lopez Groves Suite 922 West Jonathan, MO 15135",Chicago,,487 Lopez Groves Suite 922,West Jonathan,MO,15135,Duplex,0,0,1.1,279,0,0,0,1,0,1979,1556,9292,,6,3,1,,,5,33.61487,-108.495305,Islands,7.42
"72430 Nathaniel Route Lake Nicholechester, WY 87290","72430 Nathaniel Route Lake Nicholechester, WY 87290", ,0,72430 Nathaniel Route,Lake Nicholechester,WY,87290,Single Family Home,0,0,3.05,672,,0,0,,1,1979,807,7136,Garage,5,4,0,Colonial,1,4,37.111743,-78.787988,Mount,6.33
"42825 Taylor Plains South Michaelton, MD 87716","42825 Taylor Plains South Michaelton, MD 87716", ,,42825 Taylor Plains,South Michaelton,MD,87716,Townhouse,,,2.03,120,0,0,,,,1951,2568,7881,Driveway,3,3,1,Ranch,0,4,35.315989,-103.147259,Isle,3.12
"90161 Smith Islands Suite 470 West Michaelmouth, MD 24835","90161 Smith Islands Suite 470 West Michaelmouth, MD 24835",Tampa,,90161 Smith Islands Suite 470,West Michaelmouth,MD,24835,SFR,1,1,3.32,1294,0,1,1,,,2001,1351,3486,Garage,1,3,1,,,2,37.964329,-106.825863,Flat,9.54
"4273 Lynch Ports New Victoria, VI 91705","4273 Lynch Ports New Victoria, VI 91705",Atlanta,1,4273 Lynch Ports,New Victoria,VI,91705,Duplex,1,,2.19,1007,0,,,,0,1956,1686,9608,Driveway,2,2,,Ranch,0,3,38.108809,-107.010144,Canyon,4.52
"1511 Thomas Ports Mooretown, LA 84787","1511 Thomas Ports Mooretown, LA 84787", ,,1511 Thomas Ports,Mooretown,LA,84787,Single Family Home,,0,1.31,1631,0,,,1,,1992,2151,7340,Street,5,3,1,Split,1,5,34.143459,-95.232318,Camp,5.18
"051 Angela Heights East Kristin, NJ 25281","051 Angela Heights East Kristin, NJ 25281",Dallas,,051 Angela Heights,East Kristin,NJ,25281,Single Family Home,0,0,2.9,1134,,1,0,0,0,1978,1681,5298,,2,2,1,Colonial,,3,37.830851,-93.474576,Parkways,8.59
"474 Rich Crossing Apt. 957 Lake Patricia, MA 95018","474 Rich Crossing Apt. 957 Lake Patricia, MA 95018",Atlanta,,474 Rich Crossing Apt. 957,Lake Patricia,MA,95018,Condo,0,0,3.31,98,0,1,0,,1,2006,2480,9187,Street,4,2,,Ranch,0,1,38.030211,-109.532409,Lane,4.45
"2368 Alejandra Centers Markmouth, MN 10770","2368 Alejandra Centers Markmouth, MN 10770", ,,2368 Alejandra Centers,Markmouth,MN,10770,Duplex,1,,3.37,1736,0,1,1,0,0,1981,3104,4967,Street,2,4,0,Colonial,,1,41.839753,-73.508865,Island,4.65
"82684 Lauren Cove South Daniel, NC 42532","82684 Lauren Cove South Daniel, NC 42532",Dalas,0,82684 Lauren Cove,South Daniel,NC,42532,Duplex,,0,3.33,603,0,1,1,,1,1953,1815,5197,,5,1,0,Colonial,0,2,38.201758,-104.010582,Rapids,7.83
"592 Rodriguez Neck Baileyshire, MT 85712","592 Rodriguez Neck Baileyshire, MT 85712",Florida,0,592 Rodriguez Neck,Baileyshire,MT,85712,SFR,,0,2.05,1738,1,1,,,1,2018,1622,4090,Garage,1,3,,Ranch,0,3,38.609895,-82.684968,Green,7.6
"430 Susan Trail Jonesbury, OH 74024","430 Susan Trail Jonesbury, OH 74024",Chicgo,0,430 Susan Trail,Jonesbury,OH,74024,SFR,,0,2.48,628,0,1,0,,,1997,1929,1021,Street,1,1,1,,,3,40.292922,-100.412935,Harbors,6.96
"8751 Richard Passage Apt. 054 North Faithshire, TX 54002","8751 Richard Passage Apt. 054 North Faithshire, TX 54002", ,1,8751 Richard Passage Apt. 054,North Faithshire,TX,54002,Duplex,1,0,1.42,1582,0,,1,1,0,1969,3308,2993,Garage,3,2,1,Colonial,0,4,34.304588,-95.159654,Islands,7.49
"833 Patel Roads Suite 240 Port Theresastad, IA 13878","833 Patel Roads Suite 240 Port Theresastad, IA 13878",Atlanta,,833 Patel Roads Suite 240,Port Theresastad,IA,13878,Townhouse,,0,2.73,1748,0,0,0,,,1961,1761,7048,Street,3,2,0,Split,,1,33.75466,-83.261046,Court,9.96
"13221 Martin Manor West Brandon, RI 69755","13221 Martin Manor West Brandon, RI 69755",Florida,1,13221 Martin Manor,West Brandon,RI,69755,SFR,1,1,1.98,1943,0,1,0,0,,1952,938,1765,Street,1,4,1,Colonial,,3,36.964805,-116.353821,Pine,8.74
"960 Angela Haven Lake Patricia, CA 44981","960 Angela Haven Lake Patricia, CA 44981",Atlanta,1,960 Angela Haven,Lake Patricia,CA,44981,Townhouse,0,,2.92,1641,,,0,0,0,1975,2126,4126,Street,6,2,1,Colonial,0,3,40.460548,-78.497181,Hills,9.46
"331 Joseph Fork Apt. 343 Charlesbury, NJ 09800","331 Joseph Fork Apt. 343 Charlesbury, NJ 09800",Chicago,0,331 Joseph Fork Apt. 343,Charlesbury,NJ,9800,Duplex,,0,2.66,1980,0,,0,1,,2005,2958,9669,,6,3,,Ranch,1,2,38.857089,-82.721996,Mountain,5.85
"990 Sweeney View Port Raymond, LA 54662","990 Sweeney View Port Raymond, LA 54662",Florida,0,990 Sweeney View,Port Raymond,LA,54662,Single Family Home,0,1,2.55,470,0,1,1,1,1,1998,2783,2914,,4,1,0,Colonial,0,2,34.555764,-89.833084,Ridges,4.55
"77640 Morgan Stream East Adrian, CO 31900","77640 Morgan Stream East Adrian, CO 31900",Florida,,77640 Morgan Stream,East Adrian,CO,31900,SFR,0,1,3.41,596,,,,0,1,1965,663,6404,,6,4,,Colonial,0,3,34.206947,-90.184854,Crescent,6.23
"206 Karen Circles Marilynville, MI 95560","206 Karen Circles Marilynville, MI 95560",Florida,0,206 Karen Circles,Marilynville,MI,95560,SFR,,,1.6,1219,,,0,,1,1973,2302,8242,,2,4,0,Colonial,0,5,40.919024,-86.758867,Plains,7.98
"559 Chapman Mountains Suite 145 Greenefort, DC 26946","559 Chapman Mountains Suite 145 Greenefort, DC 26946", ,0,559 Chapman Mountains Suite 145,Greenefort,DC,26946,Condo,,0,1.36,845,0,,,1,0,1968,2286,7511,Garage,2,4,0,Ranch,0,1,33.989336,-96.574811,Passage,9.62
"883 Sharon Dale South Jonathanshire, TN 32730","883 Sharon Dale South Jonathanshire, TN 32730",Dalas,,883 Sharon Dale,South Jonathanshire,TN,32730,Single Family Home,0,0,1.42,232,,0,0,,1,2022,1546,4106,,6,3,0,Colonial,1,4,33.338431,-77.933098,Avenue,3.22
"01777 Davis Plains Suite 818 Colinstad, AZ 29680","01777 Davis Plains Suite 818 Colinstad, AZ 29680", ,0,01777 Davis Plains Suite 818,Colinstad,AZ,29680,Townhouse,0,0,1.58,1739,,,,0,0,2006,988,5717,,2,3,,Split,,5,38.775615,-83.179305,Shoals,4.4
"66532 Trujillo Viaduct Apt. 427 New Joeton, AR 09384","66532 Trujillo Viaduct Apt. 427 New Joeton, AR 09384",Chicago,0,66532 Trujillo Viaduct Apt. 427,New Joeton,AR,9384,SFR,0,,3.4,1820,,0,,0,1,1979,1557,2493,,2,3,,Colonial,,1,36.276336,-98.968671,Greens,4.37
"81314 Jessica Well Apt. 142 Charleschester, HI 17263","81314 Jessica Well Apt. 142 Charleschester, HI 17263",Florida,1,81314 Jessica Well Apt. 142,Charleschester,HI,17263,Townhouse,1,,2.21,120,1,0,0,0,,1993,1958,5803,Street,1,1,0,,0,1,37.905396,-103.116771,Isle,4.52
"874 Adams Parkway Suite 059 North Rachaelville, VI 20629","874 Adams Parkway Suite 059 North Rachaelville, VI 20629",Chicgo,0,874 Adams Parkway Suite 059,North Rachaelville,VI,20629,SFR,,1,1.76,224,1,1,0,0,,2014,815,3315,,3,2,0,,1,5,38.916235,-74.53437,Station,7.71
"6240 Williams Courts West Miranda, MI 51644","6240 Williams Courts West Miranda, MI 51644",Dallas,0,6240 Williams Courts,West Miranda,MI,51644,SFR,1,0,2.34,1781,,1,0,1,,1995,1167,3484,Driveway,3,4,0,Ranch,1,4,39.201788,-112.602547,Points,7.61
"84880 Salinas Canyon Suite 060 Port Alyssa, ME 97904","84880 Salinas Canyon Suite 060 Port Alyssa, ME 97904",Florida,,84880 Salinas Canyon Suite 060,Port Alyssa,ME,97904,Townhouse,,,3.36,33,0,0,0,1,1,2019,1718,1085,Driveway,3,1,,Ranch,1,3,41.745481,-73.366255,Union,8.44
"10340 Holden Plains Baldwinton, GA 85232","10340 Holden Plains Baldwinton, GA 85232",Chicgo,,10340 Holden Plains,Baldwinton,GA,85232,Single Family Home,1,,3.32,1667,0,,,1,0,1987,954,5360,Street,4,2,1,Colonial,0,5,41.169921,-79.100755,Stream,9.71
"656 Stacey Path Suite 157 Drakeborough, FM 49309","656 Stacey Path Suite 157 Drakeborough, FM 49309",Chicgo,,656 Stacey Path Suite 157,Drakeborough,FM,49309,Duplex,1,,3.48,130,1,,,,1,1995,856,9498,Street,5,3,,,0,2,36.033272,-84.270767,Stream,5.02
"33237 Brenda Grove Suite 238 Garyborough, ID 48404","33237 Brenda Grove Suite 238 Garyborough, ID 48404",Dallas,,33237 Brenda Grove Suite 238,Garyborough,ID,48404,Duplex,,1,1.35,874,1,,0,0,1,1958,1729,9204,Driveway,4,3,0,Colonial,,2,33.106697,-116.390048,Roads,7.13
"85736 Robin Grove Apt. 293 New Monicaside, IA 65914","85736 Robin Grove Apt. 293 New Monicaside, IA 65914",Chicgo,0,85736 Robin Grove Apt. 293,New Monicaside,IA,65914,Townhouse,1,,2.24,412,1,1,0,0,1,2010,1206,9055,Street,4,3,,,0,3,41.303759,-107.083152,Shoals,5.23
"56236 Johnson Grove Jennifermouth, VI 48223","56236 Johnson Grove Jennifermouth, VI 48223",Atlanta,,56236 Johnson Grove,Jennifermouth,VI,48223,Duplex,,1,2.46,432,1,0,,,,2002,2518,4385,Street,6,1,0,Split,,1,37.870828,-95.4167,Forks,3.22
"51010 Ashley Tunnel Suite 340 Catherineshire, HI 31977","51010 Ashley Tunnel Suite 340 Catherineshire, HI 31977",Chicgo,1,51010 Ashley Tunnel Suite 340,Catherineshire,HI,31977,Duplex,1,1,2.72,1564,,1,,1,0,2010,1864,7195,Garage,6,2,1,Colonial,,4,33.357153,-90.948391,Lakes,9.02
"230 Morgan Way Paulstad, IA 39643","230 Morgan Way Paulstad, IA 39643",Dallas,,230 Morgan Way,Paulstad,IA,39643,Duplex,0,,1.06,1776,1,1,0,0,,1954,1992,2349,Garage,6,1,,Colonial,,2,39.37156,-105.169622,Oval,9.59
"764 Sharon Green Jameshaven, NY 79302","764 Sharon Green Jameshaven, NY 79302",Dalas,,764 Sharon Green,Jameshaven,NY,79302,Condo,,1,1.81,1064,0,,,1,1,2013,1289,4404,,3,3,,Colonial,0,2,38.135922,-91.551342,Square,8.62
"2702 Amber Junction Suite 584 Harrismouth, ID 85539","2702 Amber Junction Suite 584 Harrismouth, ID 85539",Tampa,0,2702 Amber Junction Suite 584,Harrismouth,ID,85539,Condo,1,0,1.11,1258,1,0,1,0,,1958,2652,2358,Street,3,2,,Colonial,0,2,35.464788,-93.357194,Mall,6.9
"02386 Robert Islands Apt. 194 North Ronnie, MA 68195","02386 Robert Islands Apt. 194 North Ronnie, MA 68195",Chicago,0,02386 Robert Islands Apt. 194,North Ronnie,MA,68195,SFR,,,2.9,59,1,,,,0,2012,3238,5419,,4,3,,,1,5,40.200507,-80.808369,Land,5.34
"4276 Edwards Union Apt. 422 Port Leemouth, AL 67764","4276 Edwards Union Apt. 422 Port Leemouth, AL 67764",Florida,,4276 Edwards Union Apt. 422,Port Leemouth,AL,67764,Condo,0,0,1.54,912,,,0,,1,2010,2995,7220,Street,3,4,,Colonial,1,3,38.183127,-105.875801,View,5.84
"56617 Carter Place Suite 072 New Kent, MT 64387","56617 Carter Place Suite 072 New Kent, MT 64387",Dallas,0,56617 Carter Place Suite 072,New Kent,MT,64387,SFR,1,,1.16,5,0,,0,1,0,1950,1139,8118,Driveway,2,4,0,Split,1,5,41.569368,-84.469342,Terrace,3.62
"46933 Daniel Coves Suite 872 Benitezbury, PA 47197","46933 Daniel Coves Suite 872 Benitezbury, PA 47197",Chicago,,46933 Daniel Coves Suite 872,Benitezbury,PA,47197,SFR,1,,3.32,547,,,,0,0,1960,1066,7543,Street,2,3,0,Split,,4,40.48328,-115.062258,Manors,3.06
